customer_id,full_name,gender,birth_date,phone,email,city,region,loyalty_tier,registration_date
CUS01042,Amr Salem,Male,2001-07-24, 01143524010,amr.salem38@yahoo.com,Hurghada,Red Sea,Bronze,2021-02-13
CUS01227,Fady Lotfy,male,1989-03-24, 01228177418,fady.lotfy20@gmail.com,Giza,Greater Cairo,Gold,2021-04-11
CUS00189,Dina Attia,Female,1978-02-27,  01272850928  ,dina.attia61@yahoo.com,Alexandria,Alexandria,Gold,2021-03-28
CUS01780,Sherif Hamdy,Male,1999-02-14,01164024116,,Aswan,Upper Egypt,Silver,2020-01-07
CUS00496,Nadia Badawi,Female,1977-07-05,  01212906871  ,nadia.badawi95@yahoo.com,Giza,Greater Cairo,Bronze,2023-08-10
CUS00791,Ibrahim Hamdy,Male,1990-07-13,01279641006,ibrahim.hamdy27@outlook.com,Cairo,Greater Cairo,Silver,2022-04-28
CUS00573,Manar Ibrahim,Female,1992-08-22,  01288709162  ,manar.ibrahim47@hotmail.com,Giza,Greater Cairo,Silver,2020-10-20
CUS02191,Hoda Younis,Female,1987-10-13,01160605064,hoda.younis8@hotmail.com,Cairo,Greater Cairo,Bronze,2023-05-04
CUS01711,Hana Badawi,Female,1988-01-26,  01259175761  ,hana.badawi79@yahoo.com,Cairo,Greater Cairo,Silver,2023-07-26
CUS00832,Rania Ahmed,female,1976-11-12,01112423190,rania.ahmed91@gmail.com,Giza,Greater Cairo,Bronze,2022-05-19
CUS00360,Heba Lotfy,Female,1989-08-02,  01210626224  ,heba.lotfy31@yahoo.com,Alexandria,Alexandria,Bronze,2020-01-14
CUS02620,Essam Salem,Male,07/01/1982,  01178042648  ,essam.salem29@yahoo.com,Giza,Greater Cairo,Gold,2020-09-25
CUS02008,Dalia Gamal,FEMALE,1977-08-12,  01193356597  ,dalia.gamal68@gmail.com,Hurghada,Red Sea,Bronze,2023-01-20
CUS00569,Ghada Gouda,Female,1995-05-02,  01078043121  ,ghada.gouda76@gmail.com,Suez,Canal Zone,Gold,2021-09-06
CUS00103,Doha Ramadan,Female,1980-01-11,01039732676,doha.ramadan87@hotmail.com,Giza,Greater Cairo,Bronze,2023-08-15
CUS01584,Adel Hamdy,Male,1996-03-19,01073604365,,Alexandria,Alexandria,Silver,2020-04-07
CUS02287,Engy Gouda,Female,01/06/1978,  01115247808  ,engy.gouda79@gmail.com,Ismailia,Canal Zone,Gold,2020-11-18
CUS02013,Zeinab Wahba,Female,1993-09-11,01146337178,zeinab.wahba56@outlook.com,Suez,Canal Zone,Gold,2021-07-10
CUS02663,Emad Khalil,Male,1981-10-17,  01099277799  ,emad.khalil79@outlook.com,Cairo,Greater Cairo,Bronze,2023-12-03
CUS02824,Aisha Saad,Female,2000-01-20,  01085204135  ,,Cairo,Greater Cairo,Bronze,2021-11-04
CUS01180,Doha Abdallah,Female,07/01/1987,  01024212949  ,doha.abdallah41@gmail.com,Alexandria,Alexandria,Silver,2022-04-24
CUS00052,Emad Ahmed,Male,1979-12-22,01021503440,emad.ahmed30@gmail.com,Hurghada,Red Sea,Platinum,2023-09-14
CUS00508,Mona Gamal,Female,1974-07-20,01292199318,mona.gamal93@gmail.com,Aswan,Upper Egypt,Silver,2020-01-16
CUS01018,Ayman Fathy,Male,19/05/1995,01189602636,ayman.fathy26@outlook.com,Alexandria,Alexandria,Platinum,2022-07-23
CUS01092,Aisha Mostafa,Female,1977-10-08,  01220713289  ,aisha.mostafa61@hotmail.com,Mansoura,Nile Delta,Bronze,2021-11-28
CUS00064,Emad Bakr,male,1987-05-21, 01297438349,emad.bakr77@outlook.com,Giza,Greater Cairo,Silver,2022-11-05
CUS00945,Karim Ramadan,Male,1996-09-07,  01184351399  ,karim.ramadan21@outlook.com,Cairo,Greater Cairo,Bronze,2023-01-17
CUS02376,Maged Bakr,Male,1975-12-28,01150176369,maged.bakr1@hotmail.com,Cairo,Greater Cairo,Silver,2023-06-28
CUS00045,Samir Abdallah,Male,01/12/1981,01286884584 ,,Cairo,Greater Cairo,Silver,2022-10-08
CUS02708,Hossam Ibrahim,male,1981-03-01, 01129465805,hossam.ibrahim93@yahoo.com,Cairo,Greater Cairo,Silver,2022-01-18
CUS01511,Ali Ragab,Male,1993-10-18,01199072761,ali.ragab56@yahoo.com,Aswan,Upper Egypt,Bronze,2022-06-10
CUS00255,Magdy Barakat,Male,1975-02-05,01163770881,magdy.barakat22@gmail.com,Cairo,Greater Cairo,Bronze,2022-04-11
CUS00322,Shaimaa Ragab,Female,1998-02-28, 01277166896,shaimaa.ragab32@outlook.com,Tanta,Nile Delta,Gold,2023-01-01
CUS02805,Fady Salem,Male,1995-05-05, 01246193334,fady.salem20@gmail.com,Alexandria,Alexandria,Bronze,2021-03-02
CUS02938,Suzy Mohamed,Female,09/06/1979,01189868447 ,suzy.mohamed95@yahoo.com,Alexandria,Alexandria,Platinum,2020-09-22
CUS00706,Hana Ismail,Female,1989-12-22,01089625763,hana.ismail73@hotmail.com,Ismailia,Canal Zone,Bronze,2021-09-01
CUS02271,Nadia Rizk,FEMALE,1986-12-20,01118659744,nadia.rizk62@hotmail.com,Cairo,Greater Cairo,Bronze,2023-08-16
CUS02125,Radwa Ali,female,1985-02-14,01039737286,radwa.ali88@gmail.com,Ismailia,Canal Zone,Bronze,2023-05-12
CUS02862,Hassan Mohamed,Male,28/03/1973,01082701326,hassan.mohamed1@yahoo.com,Giza,Greater Cairo,Gold,2022-08-20
CUS02590,Emad Fathy,Male,25/01/1998,01140198707 ,emad.fathy33@hotmail.com,Tanta,Nile Delta,Bronze,2022-02-05
CUS02445,Nadia Amin,Female,1982-02-16,01231347320 ,nadia.amin79@outlook.com,Giza,Greater Cairo,Bronze,2023-07-05
CUS01452,Dalia Ramadan,Female,2001-02-08,01169880867,dalia.ramadan65@outlook.com,Mansoura,Nile Delta,Silver,2021-07-08
CUS00140,Reem Ali,FEMALE,1982-08-24,01079946108,reem.ali42@yahoo.com,Ismailia,Canal Zone,Silver,2020-12-18
CUS02575,Bassem Badawi,male,1991-08-11,01145280103 ,bassem.badawi24@outlook.com,Cairo,Greater Cairo,Bronze,2020-06-07
CUS00582,Hana Ramadan,female,1987-12-23,01047158689,hana.ramadan37@hotmail.com,Ismailia,Canal Zone,Bronze,2020-07-07
CUS02606,Reem Badawi,Female,01/04/2003,01219554390,reem.badawi76@hotmail.com,Alexandria,Alexandria,Silver,2023-11-23
CUS00810,Karim Gouda,Male,1976-08-26,01296912383 ,karim.gouda93@yahoo.com,Cairo,Greater Cairo,Silver,2022-06-13
CUS02592,Mohamed Younis,male,17/07/1992,01193079615 ,mohamed.younis28@yahoo.com,Hurghada,Red Sea,Gold,2020-06-05
CUS01823,Lobna Attia,FEMALE,1995-07-20,01090607170,lobna.attia37@outlook.com,Mansoura,Nile Delta,Bronze,2021-09-21
CUS01476,Amr Ali,Male,16/04/1981,01161218112 ,amr.ali22@hotmail.com,Mansoura,Nile Delta,Bronze,2021-04-18
CUS01892,Reem Ibrahim,Female,1996-01-17,01279478250,,Giza,Greater Cairo,Bronze,2020-01-12
CUS01428,Maged Ismail,Male,1987-03-25,01236326944,maged.ismail63@yahoo.com,Port Said,Canal Zone,Silver,2022-05-21
CUS02586,Mohamed Farouk,Male,1990-07-17,01291780371,mohamed.farouk48@outlook.com,Mansoura,Nile Delta,Gold,2023-08-01
CUS00135,Adel Hamdy,Male,05/05/1996,  01111416778  ,adel.hamdy61@gmail.com,Port Said,Canal Zone,Bronze,2023-08-10
CUS00742,Bassem Lotfy,Male,1971-09-25,01137531916,bassem.lotfy42@gmail.com,Giza,Greater Cairo,Bronze,2023-09-20
CUS00965,Magdy Younis,Male,1972-08-04,01135670862,magdy.younis91@hotmail.com,Giza,Greater Cairo,Silver,2020-04-22
CUS00150,Hussein Khalil,Male,1981-09-13,01255300210,hussein.khalil41@hotmail.com,Cairo,Greater Cairo,Silver,2022-07-25
CUS00241,Radwa Ragab,Female,20/10/1978, 01029278938,radwa.ragab9@outlook.com,Port Said,Canal Zone,Silver,2020-01-14
CUS01767,Aisha Ismail,Female,25/01/1986,01291142579,aisha.ismail70@gmail.com,Zagazig,Nile Delta,Gold,2020-04-14
CUS01897,Fady Barakat,Male,1975-11-23,01273669065 ,fady.barakat40@outlook.com,Mansoura,Nile Delta,Bronze,2023-11-03
CUS02322,Maged Ali,male,07/12/1973,01069565923,maged.ali99@hotmail.com,Tanta,Nile Delta,Bronze,2020-05-07
CUS00175,Ashraf Badawi,Male,1975-10-20,01042844845,ashraf.badawi27@gmail.com,Mansoura,Nile Delta,Silver,2021-03-02
CUS00053,Hoda Amin,Female,03/05/2000,01114661179,hoda.amin80@yahoo.com,Port Said,Canal Zone,Gold,2020-08-06
CUS01147,Ashraf Sayed,Male,1970-03-26,  01183421108  ,ashraf.sayed60@gmail.com,Hurghada,Red Sea,Bronze,2020-03-21
CUS00145,Neveen Attia,Female,1970-11-17,01134901990,neveen.attia42@gmail.com,Giza,Greater Cairo,Silver,2023-04-17
CUS00332,Ayman Mohamed,Male,1991-05-08, 01073562365,ayman.mohamed31@gmail.com,Zagazig,Nile Delta,Bronze,2023-02-21
CUS00247,Nader Khalil,Male,1976-04-05,01239677351,nader.khalil68@gmail.com,Giza,Greater Cairo,Bronze,2023-08-03
CUS01972,Mona Saad,Female,2002-08-08,01046897895 ,mona.saad53@gmail.com,Aswan,Upper Egypt,Bronze,2023-12-08
CUS02485,Ali Gouda,male,1977-01-14,01126341998 ,ali.gouda8@hotmail.com,Alexandria,Alexandria,Bronze,2020-05-04
CUS01621,Aisha Ismail,Female,1976-07-16,01284787394,aisha.ismail48@hotmail.com,Alexandria,Alexandria,Bronze,2023-11-05
CUS00558,Tarek Barakat,Male,1982-01-19,  01154084020  ,tarek.barakat78@hotmail.com,Cairo,Greater Cairo,Silver,2020-11-09
CUS00252,Hussein Nasser,Male,2002-12-16,  01189105321  ,hussein.nasser49@outlook.com,Giza,Greater Cairo,Bronze,2021-09-08
CUS01117,Reham Ragab,Female,1978-04-15,01117890314,reham.ragab4@yahoo.com,Cairo,Greater Cairo,Platinum,2023-11-18
CUS01878,Mahmoud Lotfy,male,2003-03-26,01050393690,mahmoud.lotfy8@hotmail.com,Alexandria,Alexandria,Silver,2022-09-10
CUS02523,Ahmed Ramadan,MALE,1983-12-22, 01140694296,ahmed.ramadan91@yahoo.com,Giza,Greater Cairo,Platinum,2023-03-11
CUS00212,Ayman Shaaban,Male,1974-09-08,01061596498,ayman.shaaban46@hotmail.com,Tanta,Nile Delta,Silver,2022-07-02
CUS00001,Manar Hamdy,Female,1977-10-07,  01283233096  ,manar.hamdy91@yahoo.com,Giza,Greater Cairo,Silver,2023-05-27
CUS01477,Dina Ibrahim,Female,1982-10-22,01093364164,dina.ibrahim81@yahoo.com,Hurghada,Red Sea,Bronze,2022-01-13
CUS01554,Youssef Ibrahim,Male,1986-11-22,01053254525,,Suez,Canal Zone,Silver,2023-11-18
CUS01296,Salma Barakat,Female,1987-12-27,  01145353959  ,salma.barakat10@hotmail.com,Cairo,Greater Cairo,Platinum,2020-05-16
CUS00566,Ola Younis,Female,1983-06-23,01284036002,ola.younis34@yahoo.com,Alexandria,Alexandria,Gold,2023-05-02
CUS01235,Reham Hassan,Female,1992-06-18,01220610410,reham.hassan34@hotmail.com,Mansoura,Nile Delta,Bronze,2023-11-12
CUS01625,Emad Ragab,Male,1994-03-17,01276643230,emad.ragab21@yahoo.com,Cairo,Greater Cairo,Silver,2022-03-15
CUS02915,Ashraf Gamal,MALE,2000-05-08,01273724781,ashraf.gamal82@gmail.com,Cairo,Greater Cairo,Bronze,2022-06-17
CUS00790,Walid Abdallah,Male,04/05/1983,01210378180,,Port Said,Canal Zone,Bronze,2020-06-07
CUS00813,Eman Barakat,female,1979-07-13, 01226501040,eman.barakat42@hotmail.com,Cairo,Greater Cairo,Gold,2020-06-10
CUS00267,Dalia Saad,Female,1997-10-24,01218037180,dalia.saad88@hotmail.com,Tanta,Nile Delta,Gold,2023-07-11
CUS02798,Emad Attia,Male,2001-06-28,01079680430,emad.attia9@outlook.com,Mansoura,Nile Delta,Bronze,2022-11-10
CUS00323,Lobna Khalil,Female,16/01/1970, 01190244451,lobna.khalil28@hotmail.com,Mansoura,Nile Delta,Silver,2020-03-24
CUS00033,Heba Wahba,female,1978-11-27,01120043577,heba.wahba38@hotmail.com,Cairo,Greater Cairo,Gold,2022-07-23
CUS00371,Neveen Lotfy,female,21/05/2001,01219560913 ,neveen.lotfy73@yahoo.com,Cairo,Greater Cairo,Silver,2021-07-09
CUS02464,Hassan Hamdy,Male,2003-12-09,01045500468,hassan.hamdy84@yahoo.com,Alexandria,Alexandria,Gold,2021-05-07
CUS00015,Heba Abdallah,female,1996-01-09,01227030641,heba.abdallah32@outlook.com,Cairo,Greater Cairo,Silver,2023-03-19
CUS00094,Hany Nasser,Male,1991-06-12,01139319229,hany.nasser97@gmail.com,Alexandria,Alexandria,Bronze,2020-11-12
CUS02758,Rania Nasser,FEMALE,1976-07-28, 01151971760,rania.nasser45@hotmail.com,Suez,Canal Zone,Bronze,2020-04-12
CUS00880,Mariam Barakat,Female,1985-03-05,  01023228017  ,mariam.barakat7@yahoo.com,Cairo,Greater Cairo,Bronze,2021-01-02
CUS00643,Samir Mansour,Male,23/10/1995,  01036658273  ,samir.mansour34@yahoo.com,Cairo,Greater Cairo,Bronze,2022-09-12
CUS02098,Zeinab Wahba,Female,1984-11-05,  01033172968  ,zeinab.wahba79@hotmail.com,Mansoura,Nile Delta,Gold,2021-06-02
CUS01603,Ali Younis,Male,1981-11-08,01063761226,ali.younis95@outlook.com,Cairo,Greater Cairo,Gold,2023-06-26
CUS01107,Maged Mohamed,Male,2000-03-24,01144327434,maged.mohamed11@outlook.com,Giza,Greater Cairo,Bronze,2022-03-06
CUS00757,Emad Salem,MALE,1979-04-03, 01261524781,,Mansoura,Nile Delta,Silver,2021-04-14
CUS01076,Nader Gamal,Male,1983-02-06,  01289984645  ,nader.gamal12@gmail.com,Giza,Greater Cairo,Silver,2023-04-25
CUS00431,Nadia Ibrahim,Female,1970-03-25, 01229674854,nadia.ibrahim62@gmail.com,Cairo,Greater Cairo,Platinum,2020-10-14
CUS00451,Radwa Hafez,Female,1989-03-07,01166250794,radwa.hafez56@hotmail.com,Hurghada,Red Sea,Silver,2023-01-18
CUS02003,Hossam Badawi,Male,1980-02-09,01094293030,hossam.badawi73@outlook.com,Suez,Canal Zone,Bronze,2022-04-28
CUS01838,Bassem Mahmoud,Male,12/05/1987,01089306711,bassem.mahmoud60@hotmail.com,Giza,Greater Cairo,Bronze,2022-04-07
CUS01689,Mona Amin,female,12/06/1992,01170597233,,Mansoura,Nile Delta,Bronze,2023-02-16
CUS00692,Essam Younis,male,1979-04-17,01139045233 ,essam.younis81@hotmail.com,Giza,Greater Cairo,Silver,2023-10-04
CUS02638,Ashraf Sayed,male,1986-02-04,01287671828,ashraf.sayed60@yahoo.com,Hurghada,Red Sea,Gold,2020-11-06
CUS01850,Maged Ramadan,Male,2003-08-16,01159138081,,Mansoura,Nile Delta,Bronze,2022-02-16
CUS01430,Heba Zaki,Female,1983-06-08,01028692391,heba.zaki88@yahoo.com,Luxor,Upper Egypt,Gold,2021-08-20
CUS00760,Mohamed Ramadan,Male,2000-05-11,01250341681,mohamed.ramadan39@hotmail.com,Hurghada,Red Sea,Bronze,2020-03-18
CUS00185,Mariam Nasser,Female,1972-08-13,  01280107942  ,mariam.nasser12@hotmail.com,Cairo,Greater Cairo,Silver,2023-01-04
CUS01236,Manar Ahmed,FEMALE,01/08/2001,  01048259629  ,,Giza,Greater Cairo,Bronze,2022-06-10
CUS00204,Ramy Ahmed,Male,1986-02-02,01072279029 ,ramy.ahmed69@yahoo.com,Suez,Canal Zone,Bronze,2023-11-23
CUS00802,Mahmoud Mansour,Male,1982-04-07,01049594225,mahmoud.mansour16@yahoo.com,Cairo,Greater Cairo,Gold,2022-11-25
CUS00464,Amira Mohamed,female,1971-09-17,01039032170,amira.mohamed29@gmail.com,Alexandria,Alexandria,Bronze,2021-05-09
CUS01424,Eman Lotfy,Female,1997-09-18,01266214824 ,eman.lotfy35@yahoo.com,Cairo,Greater Cairo,Gold,2022-09-24
CUS01178,Mariam Mansour,Female,1995-08-03,  01240746598  ,mariam.mansour55@hotmail.com,Cairo,Greater Cairo,Silver,2023-06-05
CUS02415,Dalia Saad,Female,1973-09-22,  01223724851  ,dalia.saad35@hotmail.com,Alexandria,Alexandria,Bronze,2023-11-25
CUS00840,Rana Gouda,Female,01/01/1984,01278974303 ,,Mansoura,Nile Delta,Platinum,2020-02-27
CUS01396,Fatima Gouda,Female,1978-12-27,01095752856,fatima.gouda22@outlook.com,Aswan,Upper Egypt,Gold,2023-08-15
CUS02555,Amira Mahmoud,FEMALE,07/10/1986,01222574690,amira.mahmoud76@yahoo.com,Cairo,Greater Cairo,Bronze,2020-05-11
CUS02870,Heba Ahmed,female,1984-11-16,01078209349,heba.ahmed77@outlook.com,Giza,Greater Cairo,Gold,2021-10-11
CUS01914,Amr Amin,Male,1993-04-19,  01041050794  ,amr.amin75@hotmail.com,Giza,Greater Cairo,Bronze,2020-07-11
CUS02820,Youssef Attia,male,1981-10-03, 01190108427,youssef.attia78@yahoo.com,Giza,Greater Cairo,Bronze,2022-04-18
CUS00195,Reham Shaaban,female,1978-05-02,01183670115,reham.shaaban15@hotmail.com,Giza,Greater Cairo,Silver,2020-04-14
CUS00529,Mariam Mansour,Female,2002-02-05,01089665373,mariam.mansour23@hotmail.com,Cairo,Greater Cairo,Bronze,2020-04-10
CUS02526,Bassem Farouk,male,2003-06-16, 01136925774,bassem.farouk90@gmail.com,Cairo,Greater Cairo,Bronze,2020-09-10
CUS01211,Ahmed Lotfy,Male,1994-11-09,01239768686,ahmed.lotfy97@gmail.com,Giza,Greater Cairo,Gold,2020-07-21
CUS01810,Ahmed Mohamed,male,11/10/1980,01135907091,ahmed.mohamed9@yahoo.com,Cairo,Greater Cairo,Bronze,2022-06-28
CUS00333,Ali Ali,male,28/06/1994,01218727939,,Cairo,Greater Cairo,Silver,2023-02-04
CUS02114,Dina Farouk,female,2000-09-18,01031252809,dina.farouk63@outlook.com,Suez,Canal Zone,Bronze,2023-08-26
CUS02957,Samir Mohamed,Male,1987-03-04,  01011264861  ,,Zagazig,Nile Delta,Bronze,2023-08-17
CUS02345,Eman Ali,Female,1994-03-24,01178826793,eman.ali95@gmail.com,Port Said,Canal Zone,Bronze,2023-09-26
CUS01816,Neveen Ibrahim,female,1997-06-16,  01222522836  ,neveen.ibrahim9@gmail.com,Ismailia,Canal Zone,Bronze,2020-11-24
CUS00865,Mona Mohamed,Female,1987-03-23, 01224643784,mona.mohamed23@outlook.com,Giza,Greater Cairo,Gold,2023-10-17
CUS02224,Aisha Hafez,Female,1972-09-27,01225073447,aisha.hafez91@yahoo.com,Cairo,Greater Cairo,Silver,2022-11-17
CUS01053,Amr Mostafa,MALE,1979-12-14,  01034031104  ,,Port Said,Canal Zone,Bronze,2022-03-20
CUS00696,Neveen Ahmed,Female,2000-04-08, 01210409797,neveen.ahmed35@hotmail.com,Mansoura,Nile Delta,Gold,2023-06-20
CUS01656,Dalia Rizk,Female,1990-03-06,01134831499,dalia.rizk67@hotmail.com,Port Said,Canal Zone,Bronze,2021-12-21
CUS01939,Rania Nasser,Female,1979-11-19,01059621760 ,rania.nasser65@gmail.com,Alexandria,Alexandria,Silver,2020-02-11
CUS00046,Hossam Salem,MALE,03/12/1991,01056548066,,Mansoura,Nile Delta,Bronze,2022-08-01
CUS02168,Ashraf Mansour,Male,16/11/1983,01038067311,ashraf.mansour97@outlook.com,Cairo,Greater Cairo,Bronze,2021-07-17
CUS00545,Emad Gouda,Male,1988-12-18,01242831540 ,emad.gouda98@gmail.com,Mansoura,Nile Delta,Platinum,2023-04-19
CUS01426,Hazem Younis,Male,1985-03-25,01264829712,hazem.younis33@hotmail.com,Ismailia,Canal Zone,Platinum,2021-12-14
CUS02169,Amira Mostafa,Female,24/03/1979,  01247650461  ,amira.mostafa90@yahoo.com,Tanta,Nile Delta,Silver,2021-09-25
CUS00417,Neveen Amin,female,1987-04-19,01121707969,neveen.amin76@yahoo.com,Giza,Greater Cairo,Gold,2021-12-15
CUS01815,Tamer Badawi,Male,01/09/1986,  01163610121  ,tamer.badawi54@yahoo.com,Cairo,Greater Cairo,Gold,2020-11-08
CUS01925,Maged Ahmed,Male,1973-04-05,01164521433,maged.ahmed86@outlook.com,Hurghada,Red Sea,Bronze,2023-08-28
CUS02080,Eman Gouda,Female,1974-12-03,01116579870,eman.gouda57@outlook.com,Hurghada,Red Sea,Silver,2023-04-21
CUS00193,Adel Shaaban,Male,1974-10-04,01290048179,adel.shaaban12@yahoo.com,Suez,Canal Zone,Silver,2021-10-25
CUS02910,Mona Mohamed,FEMALE,1975-11-24,  01140195198  ,mona.mohamed1@outlook.com,Giza,Greater Cairo,Bronze,2021-05-09
CUS02918,Rana Bakr,FEMALE,1988-07-11,01247389079,rana.bakr39@hotmail.com,Aswan,Upper Egypt,Bronze,2022-10-27
CUS00315,Omar Ali,Male,1996-08-19,01185935555,omar.ali78@yahoo.com,Aswan,Upper Egypt,Bronze,2021-09-21
CUS00479,Nader Ahmed,Male,1998-05-12,01016594707,nader.ahmed52@yahoo.com,Ismailia,Canal Zone,Bronze,2022-09-20
CUS00684,Hassan Mansour,MALE,1975-12-03,01068112164,,Mansoura,Nile Delta,Bronze,2022-11-17
CUS00355,Zeinab Amin,Female,1981-10-24,01171448654 ,,Cairo,Greater Cairo,Bronze,2020-04-28
CUS00300,Neveen Gouda,female,1980-10-07,01121568480,neveen.gouda13@outlook.com,Cairo,Greater Cairo,Bronze,2023-05-08
CUS01507,Akram Mostafa,MALE,12/08/1994, 01233865861,akram.mostafa40@gmail.com,Alexandria,Alexandria,Platinum,2020-12-02
CUS01365,Sherif Mostafa,Male,06/10/1984, 01216060961,,Zagazig,Nile Delta,Bronze,2021-01-14
CUS01243,Ali Abdallah,male,1982-02-15,01048825894 ,ali.abdallah32@hotmail.com,Hurghada,Red Sea,Bronze,2023-08-26
CUS02468,Tarek Mohamed,Male,13/03/1995,  01239167240  ,tarek.mohamed98@yahoo.com,Cairo,Greater Cairo,Bronze,2021-07-11
CUS00728,Rania Barakat,female,17/10/1987,01050714161,rania.barakat28@yahoo.com,Hurghada,Red Sea,Bronze,2023-08-16
CUS02349,Wael Gouda,Male,1986-02-12,01278207429,wael.gouda7@hotmail.com,Alexandria,Alexandria,Silver,2021-11-28
CUS01085,Ghada Ahmed,Female,1971-12-02,01016472544,ghada.ahmed69@yahoo.com,Port Said,Canal Zone,Silver,2022-03-04
CUS00730,Ayman Ali,Male,01/07/1990,01060154780 ,ayman.ali17@outlook.com,Cairo,Greater Cairo,Silver,2023-11-28
CUS01955,Sara Mohamed,FEMALE,2001-03-10, 01128464221,sara.mohamed56@yahoo.com,Sharm El Sheikh,South Sinai,Bronze,2021-08-28
CUS02879,Lobna Rizk,Female,16/03/1994, 01142679457,lobna.rizk60@hotmail.com,Alexandria,Alexandria,Bronze,2023-11-03
CUS00843,Mohamed Fathy,Male,1998-08-20,  01162443962  ,mohamed.fathy52@outlook.com,Cairo,Greater Cairo,Bronze,2021-10-05
