employee_id,first_name,last_name,gender,role,store_id,hire_date,monthly_salary_egp
EMP0148,Hany,Shaaban,Male,Cashier,9,2024-06-03,5119
EMP0149,Osama,Mostafa,Male,Senior Sales Associate,9,2023-06-22,7533
EMP0150,Samah,Hamdy,Female,Sales Associate,9,2020-11-08,4965
EMP0151,Fady,Farouk,Male,Store Manager,9,2020-11-27,14450
EMP0152,Mariam,Lotfy,Female,Store Manager,10,2021-06-22,15444
EMP0153,Zeinab,Salem,Female,Store Manager,10,2021-11-04,15207
EMP0154,Ashraf,Saad,Male,Cashier,10,2018-12-12,3944
EMP0155,Wael,Hamdy,Male,Sales Associate,10,2018-11-12,5115
EMP0156,Ola,Ahmed,Female,Senior Sales Associate,10,2021-05-07,7982
EMP0157,Maged,Mahmoud,Male,Sales Associate,10,2023-04-21,5309
EMP0158,Aisha,Ahmed,Female,Sales Associate,10,2024-06-08,4257
EMP0159,Hana,Ibrahim,Female,Store Manager,10,2024-09-07,14700
EMP0160,Hany,Hafez,Male,Cashier,10,2024-03-26,5344
EMP0161,Eman,Salem,Female,Sales Associate,10,2019-09-09,5635
EMP0162,Mohamed,Abdallah,Male,Sales Associate,10,2018-06-26,5614
EMP0163,Fady,Mohamed,Male,Department Manager,10,2019-05-02,8759
EMP0164,Mona,Barakat,Female,Store Manager,11,2023-08-21,15474
EMP0165,Essam,Shaaban,Male,Cashier,11,2024-11-04,4504
EMP0166,Engy,Ibrahim,Female,Sales Associate,11,2021-06-20,4303
EMP0167,Emad,Bakr,Male,Sales Associate,11,2024-10-17,4603
EMP0168,Ayman,Sayed,Male,Cashier,11,2021-11-21,5297
EMP0169,Hana,Ramadan,Female,Cashier,11,2024-04-14,4194
EMP0170,Manar,Ragab,Female,Cashier,11,2021-06-14,4140
EMP0171,Neveen,Salem,Female,Sales Associate,11,2024-02-03,5703
EMP0172,Ayman,Sayed,Male,Cashier,11,2023-03-18,3622
EMP0173,Ghada,Mostafa,Female,Department Manager,11,2024-06-28,9862
EMP0174,Ola,Hamdy,Female,Store Manager,12,2018-05-19,13963
EMP0175,Aisha,Saad,Female,Cashier,12,2017-03-09,4939
EMP0176,Ghada,Gamal,Female,Sales Associate,12,2017-03-28,4293
EMP0177,Manar,Ibrahim,Female,Store Manager,12,2019-12-21,15490
EMP0178,Akram,Nasser,Male,Store Manager,12,2023-07-15,14198
EMP0179,Adel,Bakr,Male,Cashier,12,2018-01-05,3822
EMP0180,Nour,Mahmoud,Female,Sales Associate,12,2021-08-22,4868
EMP0181,Magdy,Ragab,Male,Department Manager,12,2021-04-25,9549
EMP0182,Ayman,Mostafa,Male,Senior Sales Associate,12,2021-11-22,7214
EMP0183,Adel,Ali,Male,Cashier,12,2020-07-20,3612
EMP0184,Adel,Nasser,Male,Department Manager,12,2019-05-10,9171
EMP0185,Ramy,Ibrahim,Male,Store Manager,13,2023-12-02,14393
EMP0186,Omar,Bakr,Male,Sales Associate,13,2024-07-19,4828
EMP0187,Zeinab,Younis,Female,Sales Associate,13,2022-07-01,5978
EMP0188,Maged,Hamdy,Male,Cashier,13,2022-07-28,3716
EMP0189,Walid,Barakat,Male,Cashier,13,2022-07-28,4135
EMP0190,Salma,Hafez,Female,Senior Sales Associate,13,2022-02-17,7296
EMP0191,Hazem,Ismail,Male,Senior Sales Associate,13,2023-06-24,7962
EMP0192,Yasmin,Amin,Female,Cashier,13,2022-03-09,3904
EMP0193,Tamer,Ibrahim,Male,Department Manager,13,2022-11-16,9450
EMP0194,Nour,Gamal,Female,Store Manager,14,2024-02-10,14445
EMP0195,Ali,Hamdy,Male,Cashier,14,2022-02-21,5269
EMP0196,Dina,Wahba,Female,Cashier,14,2023-08-19,4635
EMP0197,Mona,Badawi,Female,Cashier,14,2024-11-07,4158
EMP0198,Reham,Salem,Female,Senior Sales Associate,14,2020-08-04,7660
EMP0199,Ghada,Mahmoud,Female,Cashier,14,2024-11-06,3580
EMP0200,Magdy,Badawi,Male,Sales Associate,14,2024-09-20,4325
EMP0201,Samir,Lotfy,Male,Cashier,14,2023-06-22,4724
EMP0202,Nader,Ibrahim,Male,Cashier,14,2022-02-18,4889
EMP0203,Osama,Salem,Male,Store Manager,14,2022-02-19,14859
EMP0204,Mohamed,Hamdy,Male,Store Manager,15,2021-03-07,14199
EMP0205,Suzy,Ismail,Female,Senior Sales Associate,15,2020-03-05,6158
EMP0206,Hussein,Wahba,Male,Cashier,15,2023-12-17,3577
EMP0207,Mariam,Lotfy,Female,Store Manager,15,2020-03-06,15202
EMP0208,Rana,Badawi,Female,Cashier,15,2019-07-12,4885
EMP0209,Engy,Younis,Female,Senior Sales Associate,15,2024-08-08,7093
EMP0210,Essam,Ismail,Male,Sales Associate,15,2021-11-19,4902
EMP0211,Samir,Lotfy,Male,Store Manager,15,2023-09-14,15478
EMP0212,Karim,Abdallah,Male,Cashier,15,2021-01-21,4484
EMP0213,Heba,Barakat,Female,Cashier,15,2019-05-03,5062
EMP0214,Magdy,Wahba,Male,Senior Sales Associate,15,2020-07-03,7938
EMP0215,Engy,Gamal,Female,Sales Associate,15,2019-07-02,4811
EMP0216,Wael,Lotfy,Male,Cashier,15,2019-06-08,3557
